,Nome,Sexo,CPF,Idade,Email,Nota Enem,CRA2,CRA4,CRA6,Abandonou,Semestre Abandonou
18,Renan Peixoto,Masculino,457.183.902-23,22,maria-clara71@example.com,722,7.7,5.1,5.89,False,
19,Isaac Moura,Masculino,532.476.819-73,28,lucasbarros@example.net,748,9.54,5.53,9.7,False,
20,Eloah da Rocha,Feminino,178.960.324-22,22,barbara99@example.com,718,6.7,5.34,5.69,False,
21,Davi Peixoto,Masculino,014.695.238-33,23,diasana-clara@example.org,752,,,,True,2.0
22,Ana Júlia Ribeiro,Feminino,923.451.760-16,22,lavinia97@example.org,673,5.19,7.72,7.04,False,
23,Lara Rezende,Feminino,925.804.367-74,20,brendada-cruz@example.net,760,7.85,5.28,8.38,False,
24,Kamilly Monteiro,Feminino,950.248.731-14,28,bernardo81@example.com,700,6.29,7.45,8.71,False,
25,Rodrigo Pires,Masculino,587.341.209-04,26,helenada-paz@example.org,642,,,,True,2.0
26,Guilherme Peixoto,Masculino,934.685.701-39,23,ycunha@example.com,667,6.65,6.47,9.85,False,
27,Sra. Maria da Costa,Feminino,195.826.740-67,19,joao-pedrojesus@example.org,665,7.21,5.39,5.52,False,
28,Lavínia Rocha,Feminino,374.658.920-74,25,ana-julia45@example.com,667,8.24,9.0,8.01,False,
29,Ana Carolina Monteiro,Feminino,248.106.357-08,27,sophia39@example.org,654,8.19,9.36,8.88,False,
30,Paulo Monteiro,Masculino,182.560.437-17,27,da-motanicolas@example.org,734,9.44,5.98,9.57,False,
31,Carolina Monteiro,Feminino,205.374.618-17,25,sophia55@example.net,793,7.19,7.54,5.82,False,
32,Mirella Pires,Feminino,972.051.834-05,28,lopesigor@example.org,796,8.94,,,True,3.0
33,Joaquim Pinto,Masculino,736.521.490-25,22,wmelo@example.net,781,9.6,6.18,5.29,False,
34,Maria Cecília Silveira,Feminino,524.378.069-38,28,melissasantos@example.net,642,9.53,9.38,5.3,False,
35,Srta. Milena Pereira,Feminino,216.530.498-98,20,juliana24@example.com,738,6.76,5.59,7.28,False,
36,Bianca da Conceição,Feminino,120.746.895-94,26,sofia31@example.com,666,8.28,6.9,6.37,False,
37,Yasmin Caldeira,Feminino,457.810.236-07,22,joao-pedrocorreia@example.net,794,5.81,9.61,7.23,False,
38,Milena Aragão,Feminino,548.972.631-82,24,costelalivia@example.org,651,8.46,,,True,4.0
39,Nathan Cunha,Masculino,618.074.925-67,19,eferreira@example.net,757,,,,True,1.0
40,Larissa Pires,Feminino,136.975.428-00,18,alveslucas-gabriel@example.org,642,9.71,9.72,8.75,False,
41,Julia Melo,Feminino,463.512.708-71,22,hfreitas@example.org,670,,,,True,1.0
42,Paulo Carvalho,Masculino,652.478.019-11,26,barbarajesus@example.org,649,7.2,8.59,7.71,False,
43,Eduardo Cardoso,Masculino,519.346.802-06,19,luiz-miguel31@example.net,714,6.79,9.64,6.87,False,
44,Sra. Clara da Cunha,Feminino,216.349.078-50,23,clarice91@example.com,700,8.55,9.99,7.58,False,
45,João Miguel Ferreira,Masculino,978.536.241-82,26,da-luzrenan@example.net,660,8.59,,,True,4.0
46,Esther da Mata,Feminino,284.157.963-82,26,benjaminviana@example.org,688,7.7,9.24,7.74,False,
47,João Vitor Campos,Masculino,360.928.571-03,19,nataliarodrigues@example.net,658,8.7,8.65,5.03,False,
48,Dra. Clara Araújo,Feminino,967.253.180-02,18,otaviocardoso@example.org,666,6.07,6.03,7.07,False,
49,Bryan Viana,Masculino,579.643.081-57,24,yasmin01@example.net,797,7.94,6.83,9.83,False,
50,Camila Mendes,Feminino,451.783.029-23,18,leonardorezende@example.net,716,,,,True,2.0
51,Sra. Gabriela Cardoso,Feminino,052.839.467-38,25,cda-mota@example.net,663,9.45,9.94,7.43,False,
52,Pedro Miguel Martins,Masculino,403.157.692-70,21,usilva@example.com,757,7.86,7.65,,True,6.0
53,Daniel Lopes,Masculino,314.608.972-69,23,davi-luizcarvalho@example.org,705,9.51,7.94,5.15,False,
54,Ana Sophia Ramos,Feminino,182.379.405-04,19,omoreira@example.org,765,,,,True,1.0
55,Sra. Isabelly Porto,Feminino,063.154.298-15,19,pazevedo@example.org,659,6.85,7.56,7.29,False,
56,Cecília Jesus,Feminino,241.739.560-61,22,ribeirostella@example.net,770,7.41,9.3,7.78,False,
57,Sarah Farias,Feminino,350.914.876-20,28,laura39@example.org,676,8.74,,,True,4.0
58,Gustavo Duarte,Masculino,576.934.802-00,23,hda-cunha@example.com,673,,,,True,1.0
59,Manuela Barbosa,Feminino,170.695.428-01,24,oliviada-mata@example.org,672,8.53,7.02,6.76,False,
60,Kevin Gonçalves,Masculino,508.361.742-08,18,barrosmilena@example.net,685,5.59,6.72,5.24,False,
61,Joana Barros,Feminino,137.602.945-61,21,antonio30@example.com,759,8.56,,,True,3.0
62,João Pedro Moura,Masculino,830.591.642-15,28,lrezende@example.com,654,7.08,5.5,,True,6.0
63,Sr. Calebe Porto,Masculino,328.041.956-51,26,cardosocatarina@example.com,672,7.54,6.9,7.58,False,
64,Fernanda da Cruz,Feminino,015.876.324-62,19,juliaferreira@example.net,765,7.04,7.69,5.43,False,
65,Dr. Diego da Costa,Masculino,472.809.536-38,27,ida-rocha@example.org,668,9.17,6.91,6.2,False,
66,Bryan Aragão,Masculino,942.753.018-97,26,lopesisabel@example.net,712,8.35,6.22,8.27,False,
67,Sr. Luiz Felipe Nascimento,Masculino,237.805.164-62,21,helenafogaca@example.com,783,9.19,9.94,6.36,False,
68,Dra. Nicole Pinto,Feminino,370.149.286-78,28,heitorcardoso@example.net,738,8.22,6.58,9.38,False,
69,Ana Lopes,Feminino,591.782.036-86,24,ana91@example.com,788,7.78,9.12,,True,5.0
70,Thiago Farias,Masculino,467.951.082-01,26,lucas-gabrielda-rosa@example.net,793,7.16,,,True,3.0
71,Caroline Campos,Feminino,243.185.769-73,19,aliciamendes@example.com,685,7.41,5.3,9.7,False,
72,Vinicius Costa,Masculino,926.583.170-77,24,eloah92@example.org,748,9.82,8.38,5.75,False,
73,Ana Laura Nascimento,Feminino,346.920.157-99,21,nunesfernanda@example.org,671,5.07,9.94,8.8,False,
74,Emanuel Araújo,Masculino,892.756.304-29,26,danilocostela@example.com,800,8.76,7.6,8.51,False,
75,Catarina Peixoto,Feminino,849.172.065-02,20,lucca77@example.org,780,5.74,,,True,3.0
76,Clara Viana,Feminino,629.045.378-56,21,peixotomaria-sophia@example.net,783,7.88,5.57,6.93,False,
77,Dr. Luiz Henrique da Rosa,Masculino,384.971.502-79,18,maria-sophiarezende@example.net,699,5.11,7.52,5.53,False,
78,Sr. Miguel Nogueira,Masculino,349.805.162-89,25,lorenzo35@example.com,687,5.92,6.28,7.85,False,
79,Juliana Vieira,Feminino,817.425.906-67,27,cecilia61@example.net,694,7.44,9.66,7.98,False,
80,Dra. Eduarda Teixeira,Feminino,912.563.478-09,22,paulosilva@example.com,648,6.69,7.61,9.46,False,
81,Srta. Rebeca Rezende,Feminino,063.548.927-92,21,drodrigues@example.net,661,8.06,,,True,3.0
82,Maitê Moura,Feminino,192.385.704-50,22,msilva@example.net,674,6.97,9.84,5.64,False,
83,Enzo Gabriel Castro,Masculino,769.513.428-73,19,giovannada-rocha@example.net,668,7.24,,,True,4.0
84,Davi Lucas da Paz,Masculino,205.647.913-34,18,luccasilveira@example.org,644,8.97,5.1,8.16,False,
85,Sra. Maria Sophia Porto,Feminino,649.153.082-51,27,vbarros@example.com,796,,,,True,2.0
86,Dr. Bryan Fernandes,Masculino,570.128.364-07,26,anascimento@example.com,743,6.66,,,True,4.0
87,Dr. João Lucas Mendes,Masculino,129.386.475-73,22,peixotoenzo-gabriel@example.com,652,7.33,,,True,4.0
88,Kevin Moura,Masculino,564.910.732-70,23,alicia93@example.org,765,,,,True,2.0
89,Júlia Castro,Feminino,928.340.751-23,18,amanda51@example.org,791,8.46,8.17,7.75,False,
90,Nina Nascimento,Feminino,231.640.587-80,19,tfernandes@example.org,761,8.63,,,True,4.0
91,Maitê Nascimento,Feminino,157.429.680-94,21,castromaria-alice@example.org,658,5.55,7.47,9.02,False,
92,Natália da Rocha,Feminino,657.289.340-56,24,gda-conceicao@example.org,655,6.45,8.93,8.63,False,
93,Diego da Cunha,Masculino,365.910.824-33,23,jgomes@example.net,642,,,,True,2.0
94,Cecília Rodrigues,Feminino,403.578.629-29,18,rafael98@example.org,754,6.65,5.37,5.07,False,
95,Emanuella da Mata,Feminino,543.801.967-39,28,barbaranogueira@example.net,751,9.32,8.32,9.16,False,
96,Fernando Novaes,Masculino,591.046.738-75,28,diasjoao-pedro@example.com,675,5.58,9.75,8.73,False,
97,Sr. Pedro Miguel Campos,Masculino,648.037.952-74,27,vpeixoto@example.com,719,7.5,5.19,7.38,False,
98,Maysa Cardoso,Feminino,506.398.724-92,20,brenojesus@example.net,655,8.68,8.48,6.4,False,
99,Ana Carolina Peixoto,Feminino,935.176.024-34,28,gcastro@example.net,775,9.1,9.29,7.65,False,
100,Maria Alice Araújo,Feminino,106.538.942-60,22,nicole20@example.org,696,7.59,5.5,,True,5.0
101,Helena Rodrigues,Feminino,213.840.569-98,28,lda-mota@example.com,794,5.9,8.1,7.25,False,
102,Joaquim Fogaça,Masculino,319.205.486-70,18,joao-vitormoura@example.net,690,9.96,6.87,9.11,False,
103,Lucas Cardoso,Masculino,326.074.891-13,19,hnovaes@example.com,687,6.46,,,True,4.0
104,Danilo Ramos,Masculino,943.812.560-42,28,pda-cruz@example.net,700,9.42,9.71,7.98,False,
105,Gabrielly Farias,Feminino,319.782.054-14,20,cavalcantilivia@example.org,704,5.51,5.99,8.73,False,
106,Lorena Cardoso,Feminino,176.498.503-66,25,cavalcantipaulo@example.net,785,6.15,6.66,6.26,False,
107,João Guilherme Campos,Masculino,653.928.471-37,23,goliveira@example.org,730,7.73,9.38,6.43,False,
108,Luiz Otávio da Costa,Masculino,105.738.462-35,20,gcosta@example.com,753,5.87,5.68,9.67,False,
109,Benício da Luz,Masculino,658.913.024-89,19,gabrielacostela@example.net,657,7.54,9.48,9.73,False,
110,Cauê Mendes,Masculino,487.130.592-97,26,tcunha@example.org,658,7.48,9.3,8.34,False,
111,Eduarda Moreira,Feminino,763.840.912-40,20,hda-luz@example.com,657,6.69,9.71,5.99,False,
112,Yuri Fernandes,Masculino,821.049.365-51,28,davi-lucas70@example.com,641,6.97,,,True,4.0
113,Otávio da Luz,Masculino,152.804.637-44,24,marcelo02@example.org,708,5.79,6.2,8.09,False,
114,Sra. Yasmin Pinto,Feminino,835.902.467-74,18,maria-julia12@example.net,684,8.47,7.75,6.29,False,
115,Thales das Neves,Masculino,196.235.087-86,24,maria-vitoria58@example.net,670,7.61,6.67,,True,6.0
116,Thomas Fernandes,Masculino,173.952.048-32,23,snovaes@example.com,711,7.26,8.77,8.39,False,
117,Bruna Barbosa,Feminino,352.160.849-24,23,diaskaique@example.com,699,9.19,7.05,9.38,False,
118,Dr. Lucca Peixoto,Masculino,732.096.815-03,28,fariasagatha@example.com,763,9.9,,,True,4.0
119,Marcos Vinicius da Rosa,Masculino,824.153.609-70,21,mcardoso@example.net,788,,,,True,2.0
120,Dra. Ana Lívia da Mota,Feminino,653.814.927-82,25,santosarthur@example.net,765,7.66,,,True,4.0
121,Sofia Souza,Feminino,264.815.973-82,19,costapaulo@example.net,644,9.4,6.57,,True,5.0
122,André Ferreira,Masculino,370.159.642-52,23,vieirafelipe@example.net,673,5.42,,,True,3.0
123,Clara da Costa,Feminino,074.965.821-58,27,vieiraenzo-gabriel@example.org,703,6.88,6.27,,True,6.0
124,Srta. Elisa Cunha,Feminino,840.319.765-93,19,hda-cruz@example.net,649,,,,True,2.0
125,Erick Vieira,Masculino,073.548.129-60,19,xbarbosa@example.net,741,6.03,6.48,9.02,False,
126,Dr. Erick Cardoso,Masculino,684.701.395-84,25,renan23@example.net,742,6.62,8.08,5.07,False,
127,João Guilherme Ramos,Masculino,017.426.583-26,20,qsilveira@example.net,794,7.71,7.95,9.35,False,
128,Maysa Lopes,Feminino,398.147.025-79,19,nataliada-rosa@example.com,678,6.67,8.5,6.97,False,
129,Nina Porto,Feminino,345.269.780-00,23,bryan34@example.net,666,8.76,9.36,7.86,False,
130,Fernanda Sales,Feminino,126.374.089-87,21,jmoura@example.org,656,5.72,5.49,7.09,False,
131,Sra. Bruna das Neves,Feminino,168.532.740-08,20,jsales@example.org,661,6.88,9.87,8.48,False,
132,Danilo Cavalcanti,Masculino,108.549.372-50,20,giovanna15@example.net,747,7.44,6.39,,True,5.0
133,Luigi da Mota,Masculino,930.827.456-10,23,maria-clarafarias@example.org,725,6.69,9.12,8.46,False,
134,Brenda Cavalcanti,Feminino,168.457.092-11,27,wcunha@example.com,728,7.54,9.78,5.19,False,
135,Diego Cardoso,Masculino,396.045.817-75,25,oliveiralorena@example.com,689,7.3,7.56,,True,6.0
136,Matheus da Mota,Masculino,621.974.083-13,18,maysa78@example.net,751,9.62,,,True,4.0
137,Pedro Araújo,Masculino,615.398.207-77,23,lopestheo@example.org,743,8.31,5.08,6.11,False,
138,Sarah Ribeiro,Feminino,164.057.823-44,18,ana-beatriz02@example.com,672,8.38,9.37,5.81,False,
139,Luiz Fernando da Rosa,Masculino,329.658.107-30,20,da-conceicaocatarina@example.net,680,7.3,8.48,9.15,False,
140,Davi Aragão,Masculino,028.971.364-13,23,pedro-lucasaragao@example.net,703,7.94,9.37,5.07,False,
141,Maria Rocha,Feminino,894.203.671-69,19,pbarros@example.net,665,6.89,5.95,9.27,False,
142,Clara Monteiro,Feminino,892.305.174-88,22,rochavalentina@example.org,659,5.65,10.0,5.31,False,
143,Dra. Carolina Pires,Feminino,235.946.178-82,19,da-rosasarah@example.org,770,8.4,8.61,5.36,False,
144,Juan Freitas,Masculino,187.026.459-20,22,caroline60@example.org,645,9.59,6.18,7.3,False,
145,Sra. Helena Moura,Feminino,245.613.890-24,19,eduarda20@example.org,750,7.45,7.4,5.95,False,
146,Ryan Barbosa,Masculino,792.860.415-94,18,brenda58@example.org,662,7.74,9.35,,True,5.0
147,Melissa Porto,Feminino,567.489.023-47,21,gabrielalopes@example.net,682,8.4,8.29,9.68,False,
148,Lara da Cruz,Feminino,175.032.986-77,28,enzo75@example.net,676,,,,True,1.0
149,Levi da Costa,Masculino,469.135.082-98,21,silveiragiovanna@example.com,653,5.63,8.71,9.41,False,
150,Maria Luiza Martins,Feminino,031.798.256-77,23,leticia93@example.org,664,6.5,7.3,7.67,False,
151,Lorena Fogaça,Feminino,341.925.780-50,28,evelynporto@example.com,747,5.64,7.06,6.34,False,
152,Stephany Mendes,Feminino,754.230.689-83,26,novaeseduardo@example.org,758,9.12,7.65,8.87,False,
153,Rafaela Fernandes,Feminino,423.908.715-50,21,emanuella07@example.org,662,7.99,8.22,8.06,False,
154,Breno Teixeira,Masculino,321.065.489-15,20,meloeduardo@example.net,718,,,,True,2.0
155,Natália Lopes,Feminino,415.286.907-02,19,galves@example.org,767,7.29,7.47,,True,6.0
156,Lavínia Caldeira,Feminino,986.347.102-03,19,salesmaria-vitoria@example.org,678,,,,True,2.0
157,João Guilherme Dias,Masculino,285.013.947-50,18,caueda-costa@example.net,740,9.06,,,True,3.0
158,Sra. Sarah Duarte,Feminino,384.720.951-50,18,julianaaraujo@example.com,727,9.48,5.72,7.44,False,
159,Sr. Benjamin Cardoso,Masculino,806.297.451-02,25,jesusjoao-lucas@example.org,793,8.98,7.2,6.2,False,
160,Ryan Melo,Masculino,523.917.068-12,22,paulo35@example.net,740,7.44,6.5,6.55,False,
161,Lavínia Fernandes,Feminino,017.936.285-21,25,alice16@example.com,721,7.42,8.95,,True,5.0
162,Agatha Duarte,Feminino,130.975.284-23,21,lucasmoreira@example.com,684,6.97,9.34,6.71,False,
163,Bruno da Costa,Masculino,185.296.407-30,20,novaeslucas-gabriel@example.net,728,6.01,9.92,8.49,False,
164,Sra. Gabriela Rodrigues,Feminino,367.950.241-99,23,rlopes@example.com,641,9.01,6.98,,True,6.0
165,Dr. Pedro Lucas da Paz,Masculino,391.725.684-37,25,miguelbarbosa@example.com,697,6.62,9.53,9.53,False,
166,Beatriz Rezende,Feminino,903.817.264-87,23,da-motadanilo@example.org,724,6.68,6.85,,True,5.0
167,Otávio Oliveira,Masculino,427.630.859-38,27,mbarbosa@example.org,768,5.04,9.11,5.39,False,
168,Thomas Lopes,Masculino,709.463.851-57,26,francisco78@example.org,661,8.52,6.24,8.71,False,
169,Yasmin da Cunha,Feminino,689.257.413-00,27,maite45@example.org,672,6.81,7.84,8.9,False,
170,Mirella Ramos,Feminino,620.951.374-34,18,nascimentodaniel@example.com,679,6.37,6.64,5.68,False,
171,Ana Carolina da Rosa,Feminino,542.190.378-88,26,ribeiroemanuel@example.org,772,9.44,5.49,7.03,False,
172,Camila Nascimento,Feminino,734.169.205-70,26,ada-mota@example.net,671,,,,True,2.0
173,Ana Carolina Moura,Feminino,394.507.186-01,20,roliveira@example.org,651,7.8,6.7,6.09,False,
174,Thales Porto,Masculino,761.902.435-25,20,jviana@example.org,753,8.73,6.82,,True,5.0
175,Joaquim Nogueira,Masculino,026.135.948-70,25,beatrizcorreia@example.net,739,6.44,8.71,8.67,False,
176,Alana Rezende,Feminino,319.258.076-30,24,mouraraul@example.com,782,8.01,6.69,8.92,False,
177,Srta. Carolina Silva,Feminino,628.971.540-20,19,brunanogueira@example.net,673,7.34,,,True,3.0
178,Ana Beatriz Teixeira,Feminino,079.835.164-01,26,ana-juliapereira@example.net,709,5.12,7.24,9.16,False,
179,Raquel Fernandes,Feminino,692.781.045-58,26,vrocha@example.com,655,,,,True,1.0
180,Sr. João Ferreira,Masculino,738.456.012-80,21,cauacardoso@example.org,724,5.73,5.41,7.15,False,
181,Fernando Lopes,Masculino,958.642.013-24,24,pedro-henrique47@example.com,793,5.03,,,True,3.0
182,João Guilherme Costela,Masculino,604.839.275-38,19,davi-luccada-conceicao@example.net,697,5.93,6.57,,True,5.0
183,Dr. Lucas Novaes,Masculino,742.968.103-40,20,rafael08@example.org,708,6.5,7.54,9.21,False,
184,Diogo Cardoso,Masculino,426.915.083-15,25,mendeseduarda@example.net,799,5.26,6.1,6.0,False,
185,Dra. Emilly Porto,Feminino,231.576.089-59,23,ana-laura25@example.com,709,9.46,8.94,,True,5.0
186,Dra. Maria Julia Ferreira,Feminino,786.401.352-07,21,maria-alicemelo@example.org,773,9.83,5.89,,True,5.0
187,Sr. João Silva,Masculino,902.517.648-85,23,lporto@example.net,723,9.73,6.01,6.62,False,
188,Ana Clara Carvalho,Feminino,012.984.365-24,22,ucarvalho@example.org,682,9.79,5.59,8.09,False,
189,Daniela Cardoso,Feminino,459.806.731-48,26,bryansilveira@example.net,705,5.05,8.07,9.73,False,
190,Sr. João Felipe Peixoto,Masculino,198.372.506-40,19,ynovaes@example.org,660,8.23,5.92,5.6,False,
191,Luana Monteiro,Feminino,205.483.197-23,21,emanuelly08@example.com,695,8.68,7.8,8.37,False,
192,Vitória Cardoso,Feminino,439.681.205-15,20,sabrinapinto@example.org,745,7.06,5.2,8.39,False,
193,Helena Lopes,Feminino,381.624.750-44,25,luiz-henriquebarros@example.com,685,8.11,6.27,6.83,False,
194,Dra. Nicole da Mota,Feminino,698.742.301-69,22,benjaminda-costa@example.net,643,7.5,7.94,5.5,False,
195,Gabrielly Cardoso,Feminino,153.296.748-91,21,ian55@example.net,685,7.77,7.64,,True,6.0
196,Maysa Alves,Feminino,836.247.901-96,28,lucca61@example.com,778,9.44,7.42,,True,5.0
197,Helena Rocha,Feminino,785.039.261-21,19,da-rosaisadora@example.net,722,5.42,5.29,9.23,False,
198,João Miguel Moraes,Masculino,017.836.249-22,26,sdias@example.com,720,6.92,7.39,6.76,False,
199,Carlos Eduardo Gonçalves,Masculino,731.459.620-43,21,gabrielly26@example.org,780,9.22,8.81,8.27,False,
200,Yago Monteiro,Masculino,620.417.935-70,24,novaesemanuella@example.com,703,6.04,8.36,7.97,False,
201,Sr. Paulo Costela,Masculino,583.267.094-92,21,ynunes@example.net,658,6.65,8.88,7.72,False,
202,Srta. Laura Alves,Feminino,926.841.305-15,20,yda-costa@example.net,770,9.29,6.14,5.38,False,
203,Sra. Stephany Ribeiro,Feminino,042.678.195-30,22,qsilveira@example.net,751,6.37,7.38,7.98,False,
204,Dr. Carlos Eduardo Ribeiro,Masculino,816.042.573-26,27,jesusisabella@example.com,707,9.62,7.75,,True,5.0
205,Vicente Caldeira,Masculino,126.473.095-07,24,nogueiraana-julia@example.org,731,8.69,8.61,7.72,False,
206,Vitor Hugo Moraes,Masculino,341.879.026-78,25,asantos@example.net,667,,,,True,1.0
207,Ana Sophia Cunha,Feminino,870.239.415-41,26,urezende@example.com,789,9.51,9.52,5.49,False,
208,Laura Sales,Feminino,976.820.134-78,27,maria-eduardavieira@example.org,665,6.2,,,True,3.0
209,Maria Fernanda Dias,Feminino,583.107.926-03,25,joana99@example.net,724,5.04,5.23,,True,5.0
210,Natália Ramos,Feminino,782.645.901-01,20,hfreitas@example.org,765,7.92,6.15,6.63,False,
211,Gabrielly Peixoto,Feminino,815.230.946-05,24,azevedothiago@example.net,796,5.61,9.88,6.47,False,
212,Heloísa Cardoso,Feminino,946.057.382-74,23,esther34@example.org,712,6.05,6.39,6.71,False,
213,Kaique da Costa,Masculino,175.068.934-01,27,luanacastro@example.net,678,7.94,,,True,4.0
214,Dr. Pedro Henrique da Mota,Masculino,372.104.698-69,28,mcaldeira@example.com,793,8.73,6.79,,True,5.0
215,Ana Julia Cunha,Feminino,357.684.210-17,22,aragaoyago@example.com,673,,,,True,1.0
216,João Felipe da Rocha,Masculino,603.418.927-69,27,cbarbosa@example.com,751,6.8,5.87,,True,5.0
217,Alexia Freitas,Feminino,802.465.791-02,22,mfarias@example.org,692,6.75,5.02,9.25,False,
218,Dr. Danilo Sales,Masculino,753.816.429-46,19,melissa86@example.net,687,,,,True,2.0
219,Larissa Souza,Feminino,298.354.017-05,24,wmoreira@example.org,734,7.28,5.16,9.42,False,
220,Dr. Murilo da Cunha,Masculino,485.291.760-49,20,heloisaporto@example.net,727,8.97,8.5,,True,6.0
221,Eloah Moraes,Feminino,379.425.801-05,24,cgoncalves@example.com,644,7.52,8.16,5.37,False,
222,Fernanda Ribeiro,Feminino,367.184.590-20,24,jpinto@example.com,685,5.52,5.23,6.3,False,
223,Diego da Cunha,Masculino,735.428.960-47,19,marcela63@example.net,681,9.15,9.44,6.26,False,
224,Dr. Theo Mendes,Masculino,981.453.672-55,24,laura80@example.org,759,6.06,,,True,4.0
225,Luiza Barros,Feminino,985.014.623-06,27,da-costalorenzo@example.net,653,9.86,7.75,6.73,False,
226,Kaique Correia,Masculino,850.916.437-10,24,lais27@example.org,749,6.86,5.57,,True,5.0
227,João Gabriel Nascimento,Masculino,529.708.341-97,19,renan81@example.org,784,9.63,8.47,5.85,False,
228,Dra. Elisa Barros,Feminino,298.536.401-98,22,joao55@example.com,750,7.49,5.29,9.09,False,
229,João Pedro Fernandes,Masculino,926.750.148-85,26,gustavo54@example.net,773,7.21,6.62,6.18,False,
230,Marina Caldeira,Feminino,394.820.751-88,21,pviana@example.org,649,6.74,5.6,,True,5.0
231,Sr. Gustavo Oliveira,Masculino,243.065.871-26,19,enzo38@example.net,794,5.06,5.47,7.62,False,
232,Francisco Nunes,Masculino,438.709.256-47,22,xda-conceicao@example.net,741,8.18,9.83,8.89,False,
233,Marcelo Ramos,Masculino,609.724.318-96,21,tporto@example.org,768,5.31,6.15,9.41,False,
234,Maria Fernanda Jesus,Feminino,479.360.281-96,18,luiz-gustavo79@example.net,711,8.56,5.67,7.51,False,
235,Pedro Miguel Nogueira,Masculino,941.058.372-14,24,luiz-miguel88@example.org,756,9.54,8.1,,True,5.0
236,Thales Cavalcanti,Masculino,150.673.849-48,20,ialmeida@example.com,687,5.88,9.02,9.75,False,
237,Arthur Nascimento,Masculino,684.971.035-48,28,zda-luz@example.net,663,6.98,7.01,,True,5.0
238,Maria Clara da Rocha,Feminino,481.206.795-20,21,danielaramos@example.com,685,7.26,9.79,6.05,False,
239,Raul da Mata,Masculino,249.086.731-87,21,paulo68@example.org,673,9.01,9.03,7.53,False,
240,Eduardo Nunes,Masculino,583.612.907-02,20,matheussilveira@example.com,730,6.89,6.76,8.69,False,
241,Caroline Ramos,Feminino,352.986.041-70,27,mda-rosa@example.org,687,8.97,6.27,8.25,False,
242,Sr. João Gabriel da Rosa,Masculino,298.751.603-77,25,marcos-vinicius58@example.net,754,6.59,6.23,8.49,False,
243,Srta. Ana Julia da Mota,Feminino,298.607.435-92,26,paulo77@example.com,744,9.73,6.8,9.75,False,
244,Dr. Henrique Peixoto,Masculino,276.945.108-11,19,silveiraigor@example.org,737,9.23,7.81,6.66,False,
245,Letícia Ramos,Feminino,905.124.638-24,19,ana-vitoria16@example.net,744,7.26,7.88,,True,5.0
246,Vicente Teixeira,Masculino,945.138.602-51,18,framos@example.com,759,6.55,6.52,8.77,False,
247,Vitor Campos,Masculino,609.138.425-24,20,luigicampos@example.net,787,5.86,8.27,5.33,False,
248,Sophie Almeida,Feminino,473.089.512-60,26,enzoda-conceicao@example.net,780,6.86,6.56,,True,5.0
249,Henrique Aragão,Masculino,173.982.645-00,22,cunhaolivia@example.org,769,,,,True,1.0
250,Luigi Nogueira,Masculino,035.926.184-15,20,wmonteiro@example.org,653,,,,True,1.0
251,Srta. Eduarda Sales,Feminino,968.357.104-20,25,erick69@example.org,691,9.19,6.52,5.15,False,
252,Fernanda Monteiro,Feminino,784.916.023-13,18,ana-vitoria49@example.com,642,9.29,9.97,6.21,False,
253,Srta. Alexia Cavalcanti,Feminino,485.703.961-39,18,novaeslaura@example.net,696,8.9,6.06,8.06,False,
